bookstore,date,ranking,title,writer,press,category
KYOBO,2024-02,196,시간 고양이 4: 물과 불의 열차,박미연,이지북,어린이(초등)
KYOBO,2024-02,197,돈은 좋지만 재테크는 겁나는 너에게,뿅글이,황금부엉이,경제/경영
KYOBO,2024-02,198,좋은 기분,박정수(녹싸),북스톤,자기계발
KYOBO,2024-02,199,죽이고 싶은 아이,이꽃님,우리학교,청소년
KYOBO,2024-02,200,참을 수 없는 존재의 가벼움,밀란 쿤데라,민음사,소설
KYOBO,2024-01,1,나는 메트로폴리탄 미술관의 경비원입니다,패트릭 브링리,웅진지식하우스,시/에세이
KYOBO,2024-01,2,마흔에 읽는 쇼펜하우어,강용수,유노북스,인문
KYOBO,2024-01,3,세이노의 가르침,세이노(SayNo),데이원,자기계발
KYOBO,2024-01,4,처음부터 시작하는 주식투자 단타전략,홍인기,길벗,경제/경영
KYOBO,2024-01,5,트렌드 코리아 2024,김난도 외,미래의창,경제/경영
KYOBO,2024-01,6,내가 한 말을 내가 오해하지 않기로 함,문상훈,위너스북,시/에세이
KYOBO,2024-01,7,이처럼 사소한 것들,클레어 키건,다산책방,소설
KYOBO,2024-01,8,도둑맞은 집중력,요한 하리,어크로스,인문
KYOBO,2024-01,9,퓨처 셀프,벤저민 하디,상상스퀘어,자기계발
KYOBO,2024-01,10,생각이 너무 많은 어른들을 위한 심리학(10만 부 기념 스페셜 에디션),김혜남,메이븐,인문
KYOBO,2024-01,11,흔한남매 15,흔한남매,미래엔아이세움,어린이(초등)
KYOBO,2024-01,12,남에게 보여주려고 인생을 낭비하지 마라,쇼펜하우어,페이지2북스,인문
KYOBO,2024-01,13,역행자(확장판),자청,웅진지식하우스,자기계발
KYOBO,2024-01,14,해커스 토익 기출 VOCA(보카),David Cho,해커스어학연구소,외국어
KYOBO,2024-01,15,데일 카네기 인간관계론(무삭제 완역본),데일 카네기,현대지성,자기계발
KYOBO,2024-01,16,모순,양귀자,쓰다,소설
KYOBO,2024-01,17,"죽음이 물었다, 어떻게 살 거냐고",한스 할터,포레스트북스,인문
KYOBO,2024-01,18,쇼펜하우어 아포리즘: 당신의 인생이 왜 힘들지 않아야 한다고 생각하십니까,아르투어 쇼펜하우어,포레스트북스,인문
KYOBO,2024-01,19,아주 희미한 빛으로도,최은영,문학동네,소설
KYOBO,2024-01,20,원피스 107: 전설의 영웅,Eiichiro Oda,대원씨아이,만화
KYOBO,2024-01,21,부자들의 멘토,정미경 외,대한출판사,자기계발
KYOBO,2024-01,22,인생은 순간이다,김성근,다산북스,시/에세이
KYOBO,2024-01,23,돈의 속성(300쇄 리커버에디션),김승호,스노우폭스북스,경제/경영
KYOBO,2024-01,24,도시와 그 불확실한 벽,무라카미 하루키,문학동네,소설
KYOBO,2024-01,25,유목민의 투자의 정석,유목민,리더스북,경제/경영
KYOBO,2024-01,26,구의 증명,최진영,은행나무,소설
KYOBO,2024-01,27,당신이 생각하는 모든 것을 믿지 말라,조세프 응우옌,서삼독,자기계발
KYOBO,2024-01,28,보편의 단어,이기주,말글터,시/에세이
KYOBO,2024-01,29,불편한 편의점(벚꽃 에디션),김호연,나무옆의자,소설
