date,raanking,title,writer,press,kategorie
202212,2,트렌드 코리아 2023,"김난도,전미영,최지혜,이수진,권정윤,이준영,이향은,한다혜,이혜원,추예린,전다현 공저",미래의창,국내도서-경제 경영
202402,3,세이노의 가르침,세이노(SayNo) 저,데이원,자기계발
202401,3,나는 메트로폴리탄 미술관의 경비원입니다,"패트릭 브링리 저/김희정,조현주 역",웅진지식하우스,에서이
202301,3,생에 감사해,김혜자 저,수오서재,에서이
202302,3,슬램덩크 리소스-THE FIRST SLAM DUNK re:SOURCE,이노우에 타케히코 글그림,대원,만화/라이트노벨
202303,3,"살 때, 팔 때, 벌 때",강영현 저,21세기북스,경제 경영
202304,3,불편한 편의점,김호연 저,나무옆의자,소설/시/희곡
202305,3,사장학개론,김승호 저,스노우폭스북스,경제 경영
202306,3,비욘드 더 스토리 BEYOND THE STORY,"강명석,방탄소년단 저",빅히트뮤직(BIGHIT MUSIC),예술
202307,3,[예스리커버] 아기 판다 푸바오,에버랜드 동물원 글그림,시공주니어,에서이
202308,3,아메리칸 프로메테우스 (특별판),"카이 버드,마틴 셔윈 공저/최형섭 역",사이언스북스,자연과학
202309,3,디케의 눈물,조국 저,다산북스,사회 정치
202310,3,시대예보: 핵개인의 시대,송길영 저,교보문고,경제 경영
202311,3,트렌드 코리아 2024,"김난도,전미영,최지혜,이수진,권정윤,한다혜,이준영,이향은,이혜원,추예린,전다현 공저",미래의창,경제 경영
202312,3,내가 한 말을 내가 오해하지 않기로 함,문상훈 저,위너스북,에서이
202203,3,이어령의 마지막 수업,"김지수,이어령 저",열림원,인문
202204,3,시맨틱 에러 대본집,제이선 저,blackD(블랙디),국내도서-예술
202205,3,불편한 편의점,김호연 저,나무옆의자,국내도서-소설/시/희곡
202206,3,불편한 편의점,김호연 저,나무옆의자,국내도서-소설/시/희곡
202207,3,불편한 편의점,김호연 저,나무옆의자,국내도서-소설/시/희곡
202208,3,역행자,자청 저,웅진지식하우스,국내도서-자기계발
202209,3,불편한 편의점 2,김호연 저,나무옆의자,국내도서-소설/시/희곡
202210,3,하얼빈,김훈 저,문학동네,국내도서-소설/시/희곡
202211,3,아버지의 해방일지,정지아 저,창비,국내도서-소설/시/희곡
202212,3,흔한남매 12,흔한남매 원저/백난도 글/유난희 그림/흔한컴퍼니 감수,미래엔아이세움,국내도서-어린이
202402,4,아이는 무엇으로 자라는가,버지니아 사티어 저/강유리 역,포레스트북스,가정 살림
202401,4,처음부터 시작하는 주식투자 단타전략,홍인기 저,길벗,경제 경영
202301,4,불편한 편의점,김호연 저,나무옆의자,소설/시/희곡
202302,4,세이노의 가르침,세이노(SayNo) 저,데이원,자기계발
202303,4,스즈메의 문단속,신카이 마코토 저/민경욱 역,대원씨아이(단행)(대원키즈),소설/시/희곡
202304,4,스즈메의 문단속,신카이 마코토 저/민경욱 역,대원씨아이(단행)(대원키즈),소설/시/희곡
202305,4,모든 삶은 흐른다 (특별판 트레싱지 에디션),로랑스 드빌레르 저/이주영 역,피카(FIKA),인문
202306,4,역행자 확장판,자청 저,웅진지식하우스,자기계발
202307,4,도둑맞은 집중력,요한 하리 저/김하현 역,어크로스,인문
202308,4,문과 남자의 과학 공부,유시민 저,돌베개,인문
202309,4,세이노의 가르침,세이노(SayNo) 저,데이원,자기계발
202310,4,세이노의 가르침,세이노(SayNo) 저,데이원,자기계발
202311,4,더 마인드,하와이 대저택 저,웅진지식하우스,자기계발
202312,4,흔한남매 15,흔한남매 원저/백난도 글/유난희 그림/흔한컴퍼니 감수,미래엔아이세움,어린이
202203,4,물고기는 존재하지 않는다,룰루 밀러 저/정지인 역,곰출판,자연과학
202204,4,흔한남매 10,흔한남매 원저/백난도 글/유난희 그림/흔한컴퍼니 감수,미래엔아이세움,국내도서-어린이
202205,4,흔한남매 10,흔한남매 원저/백난도 글/유난희 그림/흔한컴퍼니 감수,미래엔아이세움,국내도서-어린이
202206,4,인플레이션에서 살아남기,오건영 저,페이지2,국내도서-경제 경영
202207,4,이상한 과자 가게 전천당 15,히로시마레이코 글/쟈쟈 그림/김정화 역,길벗스쿨,국내도서-어린이
202208,4,흔한남매 11,흔한남매 원저/백난도 글/유난희 그림/흔한컴퍼니 감수,미래엔아이세움,국내도서-어린이
202209,4,아버지의 해방일지,정지아 저,창비,국내도서-소설/시/희곡
202210,4,역행자,자청 저,웅진지식하우스,국내도서-자기계발
202211,4,불편한 편의점 2,김호연 저,나무옆의자,국내도서-소설/시/희곡
202212,4,불편한 편의점 2,김호연 저,나무옆의자,국내도서-소설/시/희곡
202402,5,이처럼 사소한 것들,클레어 키건 저/홍한별 역,다산책방,소설/시/희곡
202401,5,ETS 토익 정기시험 기출문제집 1000 Vol. 4 RC,ETS 저,YBM(와이비엠),국어 외국어 사전
202301,5,불편한 편의점 2,김호연 저,나무옆의자,소설/시/희곡
202302,5,K 배터리 레볼루션,박순혁 저,지와인,경제 경영
202303,5,아버지의 해방일지,정지아 저,창비,소설/시/희곡
202304,5,흔한남매 13,흔한남매 원저/백난도 글/유난희 그림/흔한컴퍼니 감수,미래엔아이세움,어린이
202305,5,김미경의 마흔 수업,김미경 저,어웨이크북스,자기계발
202306,5,모든 삶은 흐른다 (특별판 트레싱지 에디션),로랑스 드빌레르 저/이주영 역,피카(FIKA),인문
