date,ranking,title,writer,press,kategorie
202203,16,오래되고 멋진 클래식 레코드,"무라카미 하루키 지음, 홍은주 옮김",문학동네,에세이
202204,16,운명을 바꾸는 부동산 투자 수업 : 기초편,부동산읽어주는남자(정태익) 지음,리더스북,경제경영
202205,16,나는 대출 없이 0원으로 소형 아파트를 산다,잭파시(최경천) 지음,다산북스,경제경영
202206,16,도쿄 리벤저스 26,와쿠이 켄 지음,학산문화사(만화),만화
202207,16,물고기는 존재하지 않는다,"룰루 밀러 지음, 정지인 옮김",곰출판,과학
202208,16,튜브,손원평 지음,창비,소설/시/희곡
202209,16,최소한의 이웃,허지웅 지음,김영사,에세이
202210,16,파친코 2,"이민진 지음, 신승미 옮김",인플루엔셜(주),소설/시/희곡
202401,17,"2024 큰별쌤 최태성의 별★별한국사 한국사능력검정시험 심화(1, 2, 3급) 상",최태성,이투스북,수험서/자격증
202402,17,박근혜 회고록 2 : 어둠을 지나 미래로,박근혜 지음,중앙books(중앙북스),사회과학
202403,17,"2024 큰별쌤 최태성의 별★별한국사 한국사능력검정시험 심화(1, 2, 3급) 상",최태성 지음,이투스북,수험서/자격증
202301,17,슬램덩크 신장재편판 6,이노우에 타케히코 지음,대원씨아이(만화),만화
202302,17,슬램덩크 신장재편판 9,이노우에 타케히코 지음,대원씨아이(만화),만화
202303,17,이상한 과자 가게 전천당 17,"히로시마 레이코 지음, 쟈쟈 그림, 김정화 옮김",길벗스쿨,어린이
202304,17,거인의 노트,김익한 지음,다산북스,자기계발
202305,17,아버지의 해방일지,정지아 지음,창비,소설/시/희곡
202306,17,모든 삶은 흐른다,"로랑스 드빌레르 지음, 이주영 옮김",FIKA(피카),인문학
202307,17,비가 오면 열리는 상점,유영광 지음,클레이하우스,소설/시/희곡
202308,17,ETS 토익 정기시험 기출문제집 1000 Vol. 3 Reading (리딩),ETS 엮음,(주)YBM(와이비엠),외국어
202309,17,가짜 노동,"데니스 뇌르마르크.아네르스 포그 옌센 지음, 이수영 옮김",자음과모음,인문학
202310,17,도쿄 에일리언즈 7,"NAOE 지음, 박소현 옮김",서울미디어코믹스(서울문화사),만화
202311,17,파견자들,김초엽 지음,퍼블리온,소설/시/희곡
202312,17,파서블,김익한 지음,인플루엔셜(주),자기계발
202203,17,"어서 오세요, 휴남동 서점입니다",황보름 지음,클레이하우스,소설/시/희곡
202204,17,아무도 흔들 수 없는 나라,"문재인 지음, 대통령 비서실 엮음",김영사,사회과학
202205,17,이상한 과자 가게 전천당 14,"히로시마 레이코 지음, 쟈쟈 그림, 김정화 옮김",길벗스쿨,어린이
202206,17,흔한남매 과학 탐험대 5 : 물리 1,"김덕영 그림, 이현진 외 글, 김희목 감수, 김희목 외 기획, 흔한남매 원작",주니어김영사,어린이
202207,17,클래식 뮤지컬 차이콥스키의 발레곡 호두까기 인형 사운드북,"피오나 와트 지음, 올가 데미도바 그림",어스본코리아,유아
202208,17,데미안 (오리지널 초판본 표지디자인),"헤르만 헤세 지음, 이미영 옮김, 김선형",코너스톤,소설/시/희곡
202209,17,ETS 토익 정기시험 기출문제집 1000 Vol. 3 Reading (리딩),ETS 엮음,(주)YBM(와이비엠),외국어
202210,17,"물고기는 존재하지 않는다 (리커버 특별판, 양장)","룰루 밀러 지음, 정지인 옮김",곰출판,과학
202401,18,사랑인 줄 알았는데 부정맥,사단법인 전국유료실버타운협회 포푸라샤 편집부,포레스트북스,소설/시/희곡
202402,18,도둑맞은 집중력,"요한 하리 지음, 김하현 옮김",어크로스,인문학
202403,18,사랑인 줄 알았는데 부정맥,"사단법인 전국유료실버타운협회 포푸라샤 편집부 지음, 이지수 옮김",포레스트북스,소설/시/희곡
202301,18,만일 내가 인생을 다시 산다면,김혜남 지음,메이븐,인문학
202302,18,슬램덩크 신장재편판 8,이노우에 타케히코 지음,대원씨아이(만화),만화
202303,18,K 배터리 레볼루션,박순혁 지음,지와인,경제경영
202304,18,K 배터리 레볼루션,박순혁 지음,지와인,경제경영
202305,18,내세에는 남남이 좋겠어 7,"코니시 아스카 지음, 박소현 옮김",㈜소미미디어,만화
202306,18,이걸 내 마음이라고 하자,황인찬 지음,문학동네,소설/시/희곡
202307,18,ETS 토익 정기시험 기출문제집 1000 Vol. 3 Reading (리딩),ETS 엮음,(주)YBM(와이비엠),외국어
202308,18,하늘과 바람과 별과 인간,김상욱 지음,바다출판사,과학
202309,18,최민준의 아들코칭 백과,최민준 지음,위즈덤하우스,좋은부모
202310,18,더 마인드,하와이 대저택 지음,웅진지식하우스,자기계발
202311,18,손실 없는 투자원칙,남석관 지음,모루,경제경영
202312,18,불안의 서,"페르난두 페소아 지음, 배수아 옮김",봄날의책,에세이
202203,18,마음의 법칙,"폴커 키츠.마누엘 투쉬 지음, 김희상 옮김",포레스트북스,인문학
